epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,614.206,4.00652,8.5053,3.47104,0.16025,0.15926,0.07581,0.03435,4.00647,6.31614,3.47807,0.0700045,0.00333284,0.00333284
2,1190.46,4.08948,6.82893,3.53542,0.1134,0.20309,0.07207,0.03345,4.0488,6.59077,3.55981,0.0399605,0.00662217,0.00662217
3,1756.82,4.24002,6.80393,3.70403,0.19323,0.15462,0.07074,0.02984,4.10336,6.50267,3.73311,0.00987247,0.00986751,0.00986751
4,2321.32,4.24065,6.70171,3.76115,0.20489,0.18505,0.09309,0.04248,3.88704,5.81948,3.47008,0.009802,0.009802,0.009802
5,2887.7,4.09601,6.2241,3.61896,0.29066,0.19881,0.14031,0.06447,3.77806,5.35349,3.38599,0.009736,0.009736,0.009736
6,3449.31,3.98154,5.96507,3.52368,0.29257,0.22123,0.1557,0.07344,3.71976,5.27213,3.33102,0.00967,0.00967,0.00967
7,4015.02,3.90066,5.77342,3.45922,0.30365,0.23209,0.18064,0.08609,3.61979,5.01696,3.24857,0.009604,0.009604,0.009604
8,4631.34,3.85535,5.61914,3.42232,0.33312,0.2497,0.20942,0.10534,3.57348,4.85833,3.23001,0.009538,0.009538,0.009538
9,5318.29,3.82781,5.4751,3.37334,0.35984,0.25302,0.22282,0.11408,3.5305,4.74039,3.16756,0.009472,0.009472,0.009472
10,5913.42,3.79933,5.36529,3.34932,0.36812,0.26462,0.23517,0.12124,3.51329,4.66883,3.14374,0.009406,0.009406,0.009406
11,6480.83,3.76252,5.30869,3.32496,0.38306,0.28571,0.25112,0.12756,3.46399,4.59797,3.11433,0.00934,0.00934,0.00934
12,7037.31,3.74098,5.20122,3.29395,0.41799,0.27989,0.27016,0.13887,3.44959,4.51486,3.07957,0.009274,0.009274,0.009274
13,7591.63,3.71354,5.15746,3.28206,0.3906,0.29139,0.26426,0.13973,3.44486,4.48104,3.09791,0.009208,0.009208,0.009208
14,8149.04,3.70563,5.13013,3.25995,0.40623,0.29523,0.27662,0.14559,3.41485,4.4282,3.07684,0.009142,0.009142,0.009142
15,8706.96,3.68742,5.06436,3.25754,0.41771,0.30358,0.28064,0.1461,3.3887,4.3892,3.05353,0.009076,0.009076,0.009076
16,9264.3,3.67401,5.00973,3.23249,0.35043,0.30779,0.30107,0.16114,3.38275,4.31911,3.04423,0.00901,0.00901,0.00901
17,9821.79,3.64372,4.94942,3.22808,0.41925,0.30744,0.29394,0.15681,3.35847,4.29892,3.01759,0.008944,0.008944,0.008944
18,10382.4,3.63764,4.90425,3.21303,0.42369,0.31753,0.30194,0.16396,3.34093,4.26055,3.00496,0.008878,0.008878,0.008878
19,10938.8,3.62963,4.89921,3.19044,0.34126,0.32017,0.31134,0.17197,3.32806,4.21688,2.9806,0.008812,0.008812,0.008812
20,11496.3,3.62042,4.86408,3.1964,0.35067,0.32411,0.32115,0.17733,3.32472,4.16679,2.98302,0.008746,0.008746,0.008746
21,12054.1,3.61675,4.81409,3.19221,0.35538,0.33503,0.32536,0.17807,3.33594,4.15044,2.98664,0.00868,0.00868,0.00868
22,12614,3.60607,4.78834,3.18426,0.389,0.3358,0.33019,0.18242,3.31798,4.15723,2.97815,0.008614,0.008614,0.008614
23,13172.7,3.59742,4.76624,3.17241,0.36748,0.33852,0.33161,0.18541,3.30872,4.12654,2.96448,0.008548,0.008548,0.008548
24,13735.2,3.59551,4.72645,3.16266,0.37438,0.34715,0.33252,0.18568,3.30005,4.10594,2.94966,0.008482,0.008482,0.008482
25,14296.9,3.58101,4.701,3.16278,0.44308,0.34939,0.33757,0.19023,3.29053,4.08663,2.94426,0.008416,0.008416,0.008416
26,14855.9,3.56979,4.69028,3.15488,0.45164,0.34636,0.34012,0.19243,3.29084,4.07677,2.94491,0.00835,0.00835,0.00835
27,15416.5,3.5626,4.66034,3.13926,0.45579,0.3553,0.34618,0.19522,3.27746,4.04988,2.9385,0.008284,0.008284,0.008284
28,15973.6,3.55367,4.63971,3.12512,0.48861,0.35502,0.35369,0.19944,3.27287,4.02493,2.93359,0.008218,0.008218,0.008218
29,16535.7,3.54602,4.62564,3.12839,0.40195,0.35248,0.35537,0.1997,3.2702,4.00498,2.92985,0.008152,0.008152,0.008152
30,17099.2,3.54514,4.59576,3.1203,0.39674,0.35879,0.35744,0.20178,3.26631,4.00445,2.92657,0.008086,0.008086,0.008086
31,17661.2,3.52329,4.55687,3.10896,0.39368,0.36123,0.358,0.20275,3.26468,3.99557,2.92159,0.00802,0.00802,0.00802
32,18226.7,3.53541,4.55332,3.11893,0.39508,0.36075,0.36147,0.20518,3.25822,3.98753,2.9176,0.007954,0.007954,0.007954
33,18789.9,3.5255,4.53758,3.11251,0.39756,0.36536,0.36271,0.20694,3.25403,3.98161,2.91538,0.007888,0.007888,0.007888
34,19351.8,3.53072,4.53297,3.12161,0.48575,0.36536,0.36675,0.20899,3.24816,3.96885,2.91249,0.007822,0.007822,0.007822
35,19911.5,3.5076,4.51176,3.09522,0.49161,0.36414,0.36852,0.20994,3.24445,3.96107,2.90849,0.007756,0.007756,0.007756
36,20471.2,3.50607,4.49824,3.09854,0.49311,0.3651,0.37086,0.21135,3.23915,3.95785,2.90456,0.00769,0.00769,0.00769
37,21029.6,3.49818,4.4691,3.10064,0.49598,0.36628,0.37207,0.21199,3.23647,3.95062,2.90241,0.007624,0.007624,0.007624
38,21591.9,3.4965,4.46286,3.08521,0.49516,0.36896,0.37356,0.21346,3.23637,3.94292,2.90037,0.007558,0.007558,0.007558
39,22154.9,3.48588,4.44409,3.07015,0.49806,0.36836,0.3739,0.21447,3.23395,3.93763,2.89759,0.007492,0.007492,0.007492
40,22717.4,3.49538,4.46549,3.08215,0.50846,0.36411,0.37523,0.21537,3.23404,3.92937,2.89542,0.007426,0.007426,0.007426
41,23278.5,3.49069,4.43834,3.0824,0.50821,0.36744,0.37465,0.21497,3.23157,3.92566,2.89372,0.00736,0.00736,0.00736
42,23841.4,3.47517,4.41518,3.07151,0.50741,0.36943,0.37592,0.21608,3.23116,3.91738,2.89376,0.007294,0.007294,0.007294
43,24404,3.48803,4.41944,3.0711,0.50875,0.3707,0.37769,0.21771,3.22687,3.91485,2.89135,0.007228,0.007228,0.007228
