epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,606.183,3.94272,7.69201,3.40442,0.36755,0.2463,0.21401,0.107,3.91549,5.26358,3.27008,0.0700045,0.00333284,0.00333284
2,1173.73,4.02543,5.68554,3.40663,0.30613,0.21899,0.16303,0.07398,3.89393,5.38187,3.33526,0.0399605,0.00662217,0.00662217
3,1731.08,4.20497,6.11757,3.60412,0.34995,0.17573,0.14093,0.05971,4.05457,5.70978,3.60507,0.00987247,0.00986751,0.00986751
4,2280.9,4.1846,6.22958,3.66272,0.25702,0.21722,0.1843,0.07845,3.84674,5.23341,3.45711,0.009802,0.009802,0.009802
5,2880.92,4.04758,5.814,3.55929,0.36296,0.24351,0.22653,0.09914,3.75638,5.01544,3.39262,0.009736,0.009736,0.009736
6,3503.7,3.92728,5.56011,3.46271,0.36861,0.26247,0.22885,0.11014,3.67814,4.83721,3.26149,0.00967,0.00967,0.00967
7,4123.06,3.85706,5.35296,3.39703,0.40285,0.27742,0.2607,0.12786,3.61743,4.5858,3.19777,0.009604,0.009604,0.009604
8,4709.07,3.80376,5.21424,3.36959,0.38429,0.279,0.25399,0.13157,3.54711,4.57002,3.20034,0.009538,0.009538,0.009538
9,5262.23,3.77166,5.06557,3.32881,0.39977,0.30142,0.27431,0.13842,3.52479,4.38176,3.14592,0.009472,0.009472,0.009472
10,5811.93,3.73825,4.9559,3.30795,0.43722,0.3136,0.29693,0.15407,3.44644,4.28898,3.08524,0.009406,0.009406,0.009406
11,6363.76,3.6844,4.9037,3.27541,0.42784,0.32757,0.3036,0.15697,3.45797,4.26582,3.08388,0.00934,0.00934,0.00934
12,6916.33,3.67592,4.80981,3.24546,0.44427,0.3421,0.32482,0.17036,3.4441,4.1732,3.07986,0.009274,0.009274,0.009274
13,7467.63,3.64723,4.75874,3.24321,0.45108,0.35074,0.32817,0.17434,3.42381,4.13881,3.06306,0.009208,0.009208,0.009208
14,8018.14,3.64358,4.70884,3.22201,0.36439,0.34237,0.33298,0.17953,3.3915,4.08036,3.0488,0.009142,0.009142,0.009142
15,8572.29,3.62753,4.64543,3.21021,0.47261,0.36025,0.35376,0.19237,3.37482,4.04173,3.01007,0.009076,0.009076,0.009076
16,9123.93,3.60004,4.60366,3.18256,0.3724,0.37099,0.35838,0.19482,3.33845,3.96855,3.00377,0.00901,0.00901,0.00901
17,9675.33,3.57321,4.5471,3.18501,0.45594,0.37186,0.35604,0.19539,3.31982,3.95121,2.99549,0.008944,0.008944,0.008944
18,10227.8,3.56306,4.49688,3.16975,0.38145,0.36661,0.36127,0.19858,3.29607,3.86501,2.95864,0.008878,0.008878,0.008878
19,10780.6,3.56214,4.48102,3.15901,0.38635,0.37188,0.3731,0.20835,3.29184,3.86747,2.94809,0.008812,0.008812,0.008812
20,11331.6,3.5376,4.45048,3.14269,0.49649,0.36658,0.38454,0.21419,3.27838,3.82006,2.9417,0.008746,0.008746,0.008746
21,11883.1,3.53349,4.41474,3.13149,0.51943,0.37659,0.39239,0.22272,3.27155,3.80983,2.92896,0.00868,0.00868,0.00868
22,12436.3,3.51985,4.37531,3.12852,0.50348,0.38826,0.38705,0.22048,3.26111,3.80802,2.92086,0.008614,0.008614,0.008614
23,12988.3,3.50514,4.35885,3.11519,0.51883,0.39331,0.39524,0.226,3.25628,3.76851,2.91699,0.008548,0.008548,0.008548
24,13539.4,3.49898,4.33151,3.11245,0.50982,0.39178,0.39065,0.22221,3.24686,3.75956,2.91078,0.008482,0.008482,0.008482
25,14089.9,3.48615,4.28434,3.10387,0.57458,0.39123,0.40336,0.22996,3.2274,3.75861,2.90274,0.008416,0.008416,0.008416
26,14641.3,3.48452,4.28144,3.10431,0.58249,0.39508,0.4236,0.23809,3.22349,3.73444,2.89641,0.00835,0.00835,0.00835
27,15190.7,3.48385,4.25025,3.09188,0.59016,0.39829,0.4243,0.24035,3.21537,3.72184,2.89409,0.008284,0.008284,0.008284
28,15741.5,3.47335,4.23315,3.0826,0.49532,0.40252,0.41435,0.24126,3.21147,3.70267,2.88863,0.008218,0.008218,0.008218
29,16291.2,3.45733,4.21465,3.06749,0.50914,0.41933,0.41918,0.24439,3.20285,3.69142,2.88148,0.008152,0.008152,0.008152
30,16841.9,3.45265,4.17853,3.06508,0.52635,0.41765,0.42225,0.24592,3.19973,3.68271,2.87643,0.008086,0.008086,0.008086
31,17393.2,3.43707,4.13312,3.05035,0.52691,0.41212,0.4233,0.24793,3.19454,3.67214,2.87128,0.00802,0.00802,0.00802
32,17944,3.43516,4.1502,3.05885,0.51757,0.41939,0.42409,0.24766,3.18898,3.66812,2.86823,0.007954,0.007954,0.007954
33,18493.8,3.4298,4.11715,3.05128,0.51829,0.41901,0.42559,0.2491,3.18476,3.66151,2.86524,0.007888,0.007888,0.007888
34,19044.8,3.43402,4.12329,3.05494,0.50972,0.41992,0.42547,0.24856,3.1834,3.64541,2.86184,0.007822,0.007822,0.007822
35,19595.7,3.41007,4.08958,3.04018,0.50941,0.41895,0.42833,0.24932,3.1819,3.63838,2.86133,0.007756,0.007756,0.007756
36,20146,3.41033,4.07651,3.03963,0.51054,0.41881,0.42806,0.25168,3.18132,3.6252,2.85989,0.00769,0.00769,0.00769
37,20697.3,3.38743,4.06745,3.02439,0.51023,0.42073,0.42978,0.25284,3.17807,3.61717,2.85694,0.007624,0.007624,0.007624
38,21249.6,3.39886,4.04243,3.02639,0.51767,0.415,0.43327,0.25506,3.17675,3.60895,2.85569,0.007558,0.007558,0.007558
39,21799.6,3.39208,4.02639,3.01374,0.5198,0.4156,0.43367,0.25452,3.17471,3.60157,2.85405,0.007492,0.007492,0.007492
40,22349.6,3.39474,4.04389,3.02748,0.51611,0.41463,0.43423,0.25508,3.1701,3.59844,2.85217,0.007426,0.007426,0.007426
41,22901.7,3.38756,4.01313,3.01878,0.5166,0.41541,0.43437,0.2561,3.1703,3.59292,2.85215,0.00736,0.00736,0.00736
42,23451.8,3.37529,3.99558,3.00784,0.51504,0.41729,0.43609,0.2571,3.16873,3.5892,2.85162,0.007294,0.007294,0.007294
43,24001.9,3.3885,3.9731,3.01924,0.51397,0.41575,0.43719,0.25739,3.1689,3.58385,2.85124,0.007228,0.007228,0.007228
44,24552,3.38192,3.9546,3.01135,0.51351,0.41341,0.43788,0.25739,3.1683,3.58073,2.85024,0.007162,0.007162,0.007162
45,25100.7,3.36019,3.91797,2.98471,0.51778,0.41117,0.4393,0.25853,3.16992,3.57323,2.84962,0.007096,0.007096,0.007096
46,25653.4,3.36818,3.93172,3.01249,0.51399,0.41416,0.43997,0.25881,3.16964,3.56737,2.84955,0.00703,0.00703,0.00703
47,26207.3,3.35937,3.90377,2.9883,0.51863,0.4089,0.44084,0.25914,3.16921,3.5637,2.84778,0.006964,0.006964,0.006964
48,26758.6,3.35219,3.89891,2.98246,0.5222,0.40775,0.44087,0.25921,3.17095,3.55786,2.84797,0.006898,0.006898,0.006898
49,27307.9,3.35884,3.87134,2.99148,0.52041,0.40929,0.44234,0.2608,3.16903,3.55503,2.84729,0.006832,0.006832,0.006832
50,27858,3.34126,3.87867,2.98056,0.5213,0.40901,0.44333,0.2617,3.1692,3.54857,2.84599,0.006766,0.006766,0.006766
51,28408.3,3.33962,3.85678,2.97433,0.50509,0.42417,0.44438,0.26257,3.16761,3.54291,2.84531,0.0067,0.0067,0.0067
52,28957.6,3.32938,3.85061,2.97264,0.508,0.42428,0.44582,0.26348,3.16424,3.54273,2.84357,0.006634,0.006634,0.006634
53,29507.4,3.33043,3.83604,2.9653,0.51292,0.42471,0.44433,0.26284,3.16425,3.53762,2.84329,0.006568,0.006568,0.006568
54,30055.9,3.31036,3.84157,2.95677,0.51483,0.42381,0.44566,0.26346,3.16317,3.53497,2.84212,0.006502,0.006502,0.006502
55,30604.8,3.30918,3.82072,2.94916,0.51788,0.42404,0.44791,0.26501,3.1632,3.52947,2.84183,0.006436,0.006436,0.006436
56,31154.7,3.29809,3.79703,2.93321,0.51928,0.42473,0.44865,0.2653,3.1607,3.52758,2.83981,0.00637,0.00637,0.00637
57,31704.7,3.31303,3.80924,2.95525,0.51667,0.42758,0.44963,0.26637,3.15843,3.52463,2.83773,0.006304,0.006304,0.006304
58,32254.3,3.31017,3.78142,2.93344,0.51886,0.42565,0.44904,0.26716,3.15788,3.52094,2.83782,0.006238,0.006238,0.006238
59,32803.7,3.29543,3.78383,2.93144,0.52101,0.42505,0.45026,0.26795,3.15869,3.51401,2.83632,0.006172,0.006172,0.006172
60,33354.6,3.30252,3.74264,2.93513,0.5373,0.41484,0.45181,0.26914,3.15801,3.50755,2.83555,0.006106,0.006106,0.006106
61,33903.8,3.30302,3.7579,2.93145,0.53677,0.4154,0.45319,0.2699,3.15483,3.50562,2.83287,0.00604,0.00604,0.00604
62,34455.3,3.28675,3.74773,2.937,0.52453,0.42384,0.45437,0.27031,3.15527,3.49823,2.83391,0.005974,0.005974,0.005974
63,35005.2,3.28618,3.70653,2.92051,0.53031,0.42275,0.45631,0.27175,3.15604,3.49259,2.83377,0.005908,0.005908,0.005908
64,35555,3.28164,3.70322,2.92259,0.52385,0.42782,0.45699,0.27228,3.15284,3.48886,2.83151,0.005842,0.005842,0.005842
65,36104.8,3.27443,3.70337,2.91689,0.52809,0.428,0.45951,0.2727,3.1534,3.48054,2.82978,0.005776,0.005776,0.005776
66,36655.4,3.28229,3.68808,2.91249,0.53126,0.42678,0.46188,0.27352,3.15141,3.4773,2.82838,0.00571,0.00571,0.00571
67,37204.8,3.2712,3.65852,2.9127,0.55935,0.42587,0.46323,0.27433,3.15059,3.47238,2.82778,0.005644,0.005644,0.005644
68,37752.5,3.25921,3.64837,2.90023,0.56193,0.42766,0.46495,0.27537,3.14966,3.46845,2.82474,0.005578,0.005578,0.005578
69,38302.2,3.26012,3.62546,2.90115,0.56281,0.42718,0.467,0.27591,3.14956,3.4637,2.82295,0.005512,0.005512,0.005512
70,38851.9,3.25131,3.62101,2.89945,0.56207,0.43084,0.46732,0.27649,3.14993,3.45597,2.82251,0.005446,0.005446,0.005446
71,39402.2,3.25437,3.62039,2.88486,0.56351,0.43044,0.46678,0.27682,3.14832,3.44882,2.82133,0.00538,0.00538,0.00538
72,39965.2,3.24328,3.61356,2.89322,0.5579,0.43189,0.46805,0.27742,3.14571,3.44399,2.81932,0.005314,0.005314,0.005314
73,40525.3,3.25309,3.5939,2.88916,0.55145,0.4383,0.46864,0.27782,3.1453,3.43608,2.81842,0.005248,0.005248,0.005248
