epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,627.725,1.5327,1.52326,1.45722,0.55359,0.50164,0.50949,0.29428,1.64943,1.76684,1.47854,0.0700045,0.00333284,0.00333284
2,1241.77,1.56053,1.58602,1.48009,0.53779,0.47096,0.48032,0.27681,1.68106,1.80636,1.49932,0.0393445,0.00600622,0.00600622
3,1894.55,1.62351,1.68947,1.51629,0.47827,0.47838,0.4521,0.2503,1.71826,1.86877,1.52606,0.00802456,0.0080196,0.0080196
4,2534.67,1.67851,1.80468,1.56977,0.48677,0.46169,0.46057,0.24476,1.7263,1.9609,1.5357,0.00703,0.00703,0.00703
5,3138.58,1.66915,1.79627,1.55548,0.47988,0.45506,0.46295,0.25642,1.71553,1.85627,1.53469,0.00604,0.00604,0.00604
6,3700.69,1.64283,1.72566,1.54349,0.49567,0.46717,0.45209,0.25889,1.69204,1.83159,1.52898,0.00505,0.00505,0.00505
7,4288.38,1.61373,1.66602,1.52382,0.50311,0.48222,0.47283,0.27365,1.67588,1.78313,1.50391,0.00406,0.00406,0.00406
8,4914.93,1.58847,1.6091,1.49817,0.48001,0.42944,0.47751,0.27983,1.65048,1.75691,1.49326,0.00307,0.00307,0.00307
9,5567.56,1.5544,1.56425,1.47967,0.55101,0.49553,0.50485,0.29514,1.64522,1.73343,1.48349,0.00208,0.00208,0.00208
10,6208.44,1.52687,1.49036,1.45876,0.53015,0.49203,0.50419,0.29985,1.65455,1.71626,1.4857,0.00109,0.00109,0.00109
